Country.Region,Lat,Long,total_confirmed,total_deaths,Code
Afghanistan,33.93911,67.709953,42297,1574,AFG
Albania,41.1533,20.1683,24731,571,ALB
Algeria,28.0339,1.6596,62693,2062,DZA
Andorra,42.5063,1.5218,5437,75,AND
Angola,-11.2027,17.8739,12680,308,AGO
Antigua and Barbuda,17.0608,-61.7964,131,3,ATG
Argentina,-38.4161,-63.6167,1250499,33907,ARG
Armenia,40.0691,45.0382,107466,1580,ARM
Austria,47.5162,14.5501,158746,1454,AUT
Azerbaijan,40.1431,47.5769,66046,852,AZE
Bahamas,25.025885,-78.035889,6964,154,BHS
Bahrain,26.0275,50.55,83632,329,BHR
Bangladesh,23.685,90.3563,421921,6092,BGD
Barbados,13.1939,-59.5432,243,7,BRB
Belarus,53.7098,27.9534,107262,1011,BLR
Belgium,50.8333,4.469936,503182,13216,BEL
Belize,17.1899,-88.4976,4230,71,BLZ
Benin,9.3077,2.3158,2781,43,BEN
Bhutan,27.5142,90.4336,364,0,BTN
Bolivia,-16.2902,-63.5887,142561,8802,BOL
Bosnia and Herzegovina,43.9159,17.6791,63419,1583,BIH
Botswana,-22.3285,24.6849,7835,27,BWA
Brazil,-14.235,-51.9253,5675032,162628,BRA
Brunei,4.5353,114.7277,148,3,BRN
Bulgaria,42.7339,25.4858,78976,1771,BGR
Burkina Faso,12.2383,-1.5616,2581,67,BFA
Burma,21.9162,95.956,61975,1437,MMR
Burundi,-3.3731,29.9189,614,1,BDI
Cabo Verde,16.5388,-23.0418,9419,100,CPV
Cambodia,11.55,104.9167,300,0,KHM
Cameroon,3.848,11.5021,22421,433,CMR
Central African Republic,6.6111,20.9394,4880,62,CAF
Chad,15.4542,18.7322,1551,99,TCD
Chile,-35.6751,-71.543,522879,14588,CHL
Hong Kong,22.3,114.2,5380,107,HKG
Macao,22.1667,113.55,46,0,MAC
Colombia,4.5709,-74.2973,1149064,32974,COL
Comoros,-11.6455,43.3333,563,7,COM
Congo (Brazzaville),-0.228,15.8277,5379,92,COG
Congo (Kinshasa),-4.0383,21.7587,11608,316,COD
Costa Rica,9.7489,-83.7534,117587,1491,CRI
Cote d'Ivoire,7.54,-5.5471,20835,126,CIV
Croatia,45.1,15.2,68776,832,HRV
Cuba,21.521757,-77.781167,7349,130,CUB
Cyprus,35.1264,33.4299,6098,28,CYP
Czechia,49.8175,15.473,417181,5028,CZE
Faeroe Islands,61.8926,-6.9118,497,0,FRO
