Country,TotalCases,ActiveCases,TotalRecovered,TotalDeaths
World,40 610 267,9 153 814,30 334 261,1 122 192
US, 8 447 223,2 727 558, 5 494 495,  225 170
India, 7 594 284,  748 670, 6 730 379,  115 235
Brazil, 5 251 127,  415 242, 4 681 659,  154 226
Russia, 1 415 316,  315 046, 1 075 904,   24 366
Spain, 1 015 795,       NA,        NA,   33 992
Argentina,   989 680,  159 448,   803 965,   26 267
Colombia,   965 883,   68 820,   867 961,   29 102
France,   910 277,  770 719,   105 935,   33 623
Peru,   868 675,   55 137,   779 779,   33 759
Mexico,   851 227,  146 024,   619 036,   86 167
United Kingdom,   741 212,       NA,        NA,   43 726
South Africa,   705 254,   51 505,   635 257,   18 492
Iran,   534 631,   72 559,   431 360,   30 712
Chile,   493 305,   14 608,   465 021,   13 676
Iraq,   430 678,   56 829,   363 532,   10 317
Italy,   423 578,  134 003,   252 959,   36 616
Bangladesh,   390 206,   78 926,   305 599,    5 681
Germany,   373 821,   69 125,   294 800,    9 896
Indonesia,   365 240,   63 380,   289 243,   12 617
Philippines,   359 169,   42 191,   310 303,    6 675
Turkey,   349 519,   34 721,   305 427,    9 371
Saudi Arabia,   342 583,    8 487,   328 895,    5 201
Pakistan,   323 452,    9 384,   307 409,    6 659
Israel,   304 876,   24 219,   278 394,    2 263
Ukraine,   303 638,  171 476,   126 489,    5 673
Netherlands,   236 226,       NA,        NA,    6 768
Belgium,   222 253,  190 682,    21 158,   10 413
Canada*,   201 437,   21 988,   169 671,    9 778
Poland,   183 248,   85 620,    94 014,    3 614
Romania,   182 854,   44 841,   132 082,    5 931
Czechia,   181 962,  105 541,    74 908,    1 513
Morocco,   175 749,   26 352,   146 421,    2 976
Ecuador,   153 423,    6 841,   134 187,   12 395
Bolivia,   139 771,   26 807,   104 483,    8 481
Nepal,   136 036,   40 778,    94 501,      757
Qatar,   129 671,    2 797,   126 650,      224
Panama,   125 181,   21 062,   101 545,    2 574
Dominican Republic,   121 667,   20 584,    98 880,    2 203
Kuwait,   116 832,    7 516,   108 606,      710
United Arab Emirates,   116 517,    7 240,   108 811,      466
Oman,   110 594,   13 080,    96 400,    1 114
Kazakhstan,   109 508,    2 739,   105 001,    1 768
Egypt,   105 547,    1 103,    98 314,    6 130
Sweden,   103 200,       NA,        NA,    5 918
Portugal,   101 860,   39 696,    59 966,    2 198
Guatemala,   101 599,    7 026,    91 032,    3 541
Costa Rica,    97 075,   36 291,    59 580,    1 204
Japan,    93 127,    5 512,    85 941,    1 674
Ethiopia,    89 860,   45 346,    43 149,    1 365
Honduras,    88 425,   50 893,    34 964,    2 568
Belarus,    88 290,    7 227,    80 130,      933
Venezuela,    86 636,    6 206,    79 694,      736
Switzerland,    83 159,   27 621,    53 400,    2 138
Bahrain,    78 224,    3 239,    74 683,      302
Moldova,    67 302,   17 209,    48 493,    1 600
Austria,    65 927,   14 664,    50 359,      904
Armenia,    65 460,   16 161,    48 208,    1 091
Uzbekistan,    63 523,    2 388,    60 604,      531
Lebanon,    62 944,   33 563,    28 855,      526
Nigeria,    61 558,    3 736,    56 697,    1 125
Singapore,    57 915,       68,    57 819,       28
Paraguay,    55 452,   17 582,    36 663,    1 207
Algeria,    54 616,   14 536,    38 215,    1 865
Kyrgyzstan,    52 526,    5 552,    45 863,    1 111
Ireland,    50 993,   25 777,    23 364,    1 852
Libya,    49 949,   21 955,    27 262,      732
Hungary,    47 768,   32 283,    14 312,    1 173
Palestine,    47 616,    6 342,    40 861,      413
Ghana,    47 372,      398,    46 664,      310
Azerbaijan,    45 295,    4 521,    40 144,      630
Kenya,    45 076,   12 153,    32 084,      839
Tunisia,    42 727,   37 008,     5 032,      687
Afghanistan,    40 287,    5 030,    33 760,    1 497
Jordan,    38 937,   31 551,     7 006,      380
Burma,    37 205,   18 723,    17 568,      914
Serbia,    36 282,    3 968,    31 536,      778
Denmark,    35 844,    5 596,    29 562,      686
Bosnia and Herzegovina,    34 661,    8 222,    25 442,      997
El Salvador,    31 666,    3 740,    27 000,      926
Slovakia,    30 695,   23 067,     7 536,       92
Bulgaria,    30 527,   12 366,    17 153,    1 008
Australia*,    27 399,    1 386,    25 108,      905
Croatia,    25 973,    5 070,    20 529,      374
Greece,    25 802,   15 293,     9 989,      520
S. Korea,    25 275,    1 463,    23 368,      444
North Macedonia,    23 788,    5 550,    17 392,      846
Cameroon,    21 506,      965,    20 117,      424
Malaysia,    21 363,    7 456,    13 717,      190
Cote d'Ivoire,    20 324,      174,    20 029,      121
Georgia,    18 663,   10 182,     8 338,      143
Albania,    17 350,    6 729,    10 167,      454
Madagascar,    16 810,      357,    16 215,      238
Norway,    16 603,    4 462,    11 863,      278
Zambia,    15 897,      520,    15 031,      346
Montenegro,    15 760,    4 232,    11 288,      240
Senegal,    15 432,    1 248,    13 865,      319
Sudan,    13 724,    6 124,     6 764,      836
Slovenia,    13 679,    7 104,     6 385,      190
Finland,    13 555,    4 104,     9 100,      351
Namibia,    12 326,    1 769,    10 426,      131
Guinea,    11 518,    1 021,    10 427,       70
Maldives,    11 232,      994,    10 201,       37
Mozambique,    11 080,    2 169,     8 836,       75
Congo (Kinshasa),    11 052,      392,    10 357,      303
Luxembourg,    11 010,    2 404,     8 471,      135
Uganda,    10 691,    3 602,     6 992,       97
Tajikistan,    10 533,      890,     9 563,       80
French Guiana,    10 268,      204,     9 995,       69
Haiti,     8 976,    1 442,     7 303,      231
Gabon,     8 884,      378,     8 452,       54
Jamaica,     8 321,    4 197,     3 951,      173
Zimbabwe,     8 159,      244,     7 683,      232
Angola,     7 829,    4 550,     3 031,      248
Cabo Verde,     7 800,    1 093,     6 620,       87
Lithuania,     7 726,    4 503,     3 110,      113
Mauritania,     7 621,      103,     7 355,      163
Guadeloupe,     7 122,    4 827,     2 199,       96
Cuba,     6 258,      351,     5 780,      127
Malawi,     5 860,      922,     4 757,      181
Eswatini,     5 788,      245,     5 427,      116
Bahamas,     5 773,    2 311,     3 339,      123
Sri Lanka,     5 625,    2 172,     3 440,       13
Botswana,     5 609,    4 673,       915,       21
Djibouti,     5 469,       29,     5 379,       61
Nicaragua,     5 353,      974,     4 225,      154
Trinidad and Tobago,     5 298,    1 505,     3 696,       97
Hong Kong,     5 257,      170,     4 982,      105
Congo (Brazzaville),     5 156,    1 177,     3 887,       92
Syria,     5 134,    3 318,     1 565,      251
Suriname,     5 130,       77,     4 944,      109
Equatorial Guinea,     5 070,       33,     4 954,       83
Rwanda,     4 992,      161,     4 797,       34
Réunion,     4 921,      459,     4 445,       17
Central African Republic,     4 855,    2 869,     1 924,       62
Malta,     4 737,    1 450,     3 242,       45
French Polynesia,     4 548,    1 330,     3 202,       16
Aruba,     4 334,      260,     4 040,       34
Mayotte,     4 159,    1 152,     2 964,       43
Iceland,     4 101,    1 234,     2 856,       11
Estonia,     4 085,      788,     3 229,       68
Somalia,     3 890,      702,     3 089,       99
Guyana,     3 765,      905,     2 749,      111
Thailand,     3 691,      144,     3 488,       59
Gambia,     3 649,      882,     2 649,      118
Andorra,     3 623,    1 288,     2 273,       62
Latvia,     3 494,    2 109,     1 341,       44
Mali,     3 407,      687,     2 588,      132
